date, pm25, pm10, o3, no2, so2, co
2023/6/24, 88, 51, 102, 8, 1, 5
2023/6/25, 88, 43, 81, 8, , 4
2023/6/26, 79, 32, 114, 13, , 3
2023/6/27, 65, 42, 54, 12, , 4
2023/6/28, 77, 26, 93, 11, , 2
2023/6/29, 58, 46, 129, 18, 1, 3
2023/6/30, 69, 49, 118, 12, 1, 2
2023/1/2, 43, 29, 16, 14, , 4
2023/1/3, 67, 55, 11, 24, , 6
2023/1/4, 114, 90, 6, 32, , 9
2023/1/5, 173, 84, 25, 23, 1, 9
2023/1/6, 119, 62, 10, 24, , 6
2023/1/7, 64, 52, 19, 18, , 6
2023/1/8, 71, 33, 22, 10, 3, 5
2023/1/9, 53, 51, 18, 22, 1, 4
2023/1/10, 98, 72, 3, 32, 2, 8
2023/1/11, 152, 86, 5, 31, 2, 8
2023/1/12, 168, 67, 26, 15, , 6
2023/1/13, 143, 12, 27, 2, , 1
2023/1/14, 16, 20, 26, 5, , 1
2023/1/15, 29, 34, 20, 9, , 1
2023/1/16, 61, 73, 26, 6, , 1
2023/1/17, 73, 62, 21, 10, , 2
2023/1/18, 79, 60, 23, 11, , 2
2023/1/19, 91, 37, 23, 2, , 1
2023/1/20, 42, 53, 19, 12, 1, 3
2023/1/21, 107, 69, 24, 12, , 4
2023/1/22, 139, 46, 26, 2, , 5
2023/1/23, 78, 37, 23, 2, , 1
2023/1/24, 33, 42, 16, 11, 1, 3
2023/1/25, 87, 42, 24, 9, , 2
2023/1/26, 68, 17, 24, 3, , 2
2023/1/27, 27, 52, 24, 6, , 1
2023/1/28, 56, 60, 27, 7, , 2
2023/1/29, 69, 63, 17, 23, 1, 5
2023/1/30, 113, 65, 30, 19, 1, 6
2023/1/31, 107, 32, 26, 3, , 1
2023/2/1, 32, 18, 20, 7, , 2
2023/2/2, 39, 40, 13, 21, , 3
2023/2/3, 86, 49, 22, 20, 1, 5
2023/2/4, 108, 84, 9, 32, 1, 8
2023/2/5, 166, 96, 27, 24, 3, 10
2023/2/6, 181, 51, 25, 16, 2, 6
2023/2/7, 115, 25, 27, 12, , 4
2023/2/8, 70, 58, 12, 25, 3, 5
2023/2/9, 142, 77, 16, 17, , 7
2023/2/10, 174, 115, 15, 20, , 9
2023/2/11, 204, 70, 14, 13, 1, 6
2023/2/12, 153, 9, 29, 6, , 1
2023/2/13, 28, 14, 23, 9, , 1
2023/2/14, 30, 43, 23, 15, 1, 3
2023/2/15, 88, 72, 14, 24, , 6
2023/2/16, 150, 112, 9, 32, 1, 10
2023/2/17, 206, 96, 30, 22, , 9
2023/2/18, 185, 28, 30, 7, , 1
2023/2/19, 24, 21, 27, 6, , 1
2023/2/20, 20, 35, 19, 13, 1, 2
2023/2/21, 66, 69, 15, 25, , 6
2023/2/22, 145, 89, 13, 32, 1, 7
2023/2/23, 173, 33, 29, 13, , 2
2023/2/24, 64, 17, 27, 9, , 1
2023/2/25, 36, 72, 36, 18, 1, 5
2023/2/26, 136, 108, 32, 25, 1, 8
2023/2/27, 190, 56, 30, 15, , 5
2023/2/28, 102, 15, 31, 7, , 1
2023/3/1, 18, 48, 29, 17, 1, 2
2023/3/2, 64, 61, 27, 20, , 3
2023/3/3, 111, 115, 36, 27, 3, 12
2023/3/4, 184, 126, 36, 20, 1, 12
2023/3/5, 212, 113, 44, 19, , 10
2023/3/6, 202, 146, 53, 30, 2, 13
2023/3/7, 234, 94, 46, 16, 1, 6
2023/3/8, 153, 72, 23, 24, 1, 4
2023/3/9, 114, 311, 29, 21, 1, 7
2023/3/10, 165, 140, 29, 5, , 1
2023/3/11, 64, 50, 30, 2, , 1
2023/3/12, 35, 65, 13, 24, , 4
2023/3/13, 95, 112, 31, 17, 1, 5
2023/3/14, 115, 89, 30, 2, 1, 1
2023/3/15, 61, 44, 28, 7, , 2
2023/3/16, 50, 71, 20, 17, , 3
2023/3/17, 118, 32, 33, 13, , 3
2023/3/18, 63, 73, 36, 19, , 4
2023/3/19, 130, 99, 33, 22, , 6
2023/3/20, 180, 93, 44, 17, , 6
2023/3/21, 177, 515, 30, 8, 1, 3
2023/3/22, 234, 105, 28, 4, , 1
2023/3/23, 103, 58, 27, 7, , 1
2023/3/24, 65, 56, 31, 13, , 2
2023/3/25, 80, 52, 34, 11, , 1
2023/3/26, 81, 47, 34, 12, , 2
2023/3/27, 69, 85, 45, 22, 2, 6
2023/3/28, 146, 111, 67, 26, 1, 7
2023/3/29, 172, 102, 81, 23, 1, 5
2023/3/30, 163, 74, 65, 15, , 2
2023/3/31, 130, 68, 59, 12, , 3
2022/10/1, 147, 19, 27, 6, , 3
2022/10/2, 53, 14, 20, 4, 1, 2
2022/10/3, 42, 7, 26, 3, 1, 1
2022/10/4, 13, 21, 25, 9, , 1
2022/10/5, 36, 39, 26, 12, , 2
2022/10/6, 73, 63, 33, 14, 1, 6
2022/10/7, 134, 69, 15, 14, , 4
2022/10/8, 150, 9, 29, 2, 1, 1
2022/10/9, 9, 10, 30, 4, , 2
2022/10/10, 17, 30, 27, 13, , 4
2022/10/11, 56, 62, 25, 21, 1, 6
2022/10/12, 126, 84, 29, 23, 1, 8
2022/10/13, 165, 97, 46, 23, 1, 7
2022/10/14, 176, 105, 59, 17, , 8
2022/10/15, 185, 19, 26, 5, , 2
2022/10/16, 34, 9, 22, 5, , 1
2022/10/17, 12, 23, 23, 11, , 2
2022/10/18, 37, 56, 24, 19, 1, 5
2022/10/19, 115, 79, 25, 22, 1, 5
2022/10/20, 161, 90, 48, 20, 1, 7
2022/10/21, 171, 30, 28, 7, , 2
2022/10/22, 50, 21, 25, 11, , 2
2022/10/23, 33, 53, 28, 17, 1, 5
2022/10/24, 88, 90, 33, 23, 2, 8
2022/10/25, 170, 90, 28, 19, , 6
2022/10/26, 159, 19, 18, 9, , 1
2022/10/27, 34, 45, 12, 16, 1, 4
2022/10/28, 61, 57, 18, 16, , 5
2022/10/29, 98, 71, 20, 16, , 5
2022/10/30, 156, 29, 24, 9, , 2
2022/10/31, 60, 20, 20, 12, , 2
2022/11/1, 30, 56, 20, 16, 1, 4
2022/11/2, 96, 44, 22, 10, 1, 5
2022/11/3, 85, 28, 24, 8, , 2
2022/11/4, 57, 49, 15, 16, , 3
2022/11/5, 105, 87, 9, 24, 1, 7
2022/11/6, 170, 30, 25, 12, , 4
2022/11/7, 75, 54, 18, 20, , 4
2022/11/8, 99, 79, 14, 24, , 7
2022/11/9, 162, 78, 33, 12, , 8
2022/11/10, 169, 75, 5, 15, 1, 14
2022/11/11, 154, 5, 23, 6, , 4
2022/11/12, 18, 12, 18, 6, , 1
2022/11/13, 30, 45, 11, 18, , 4
2022/11/14, 83, 31, 24, 13, , 4
2022/11/15, 62, 35, 12, 19, , 3
2022/11/16, 67, 66, 11, 20, , 7
2022/11/17, 134, 81, 9, 20, , 9
2022/11/18, 167, 85, 18, 16, , 8
2022/11/19, 169, 124, 1, 22, , 12
2022/11/20, 214, 44, 19, 12, 1, 4
2022/11/21, 95, 53, 17, 19, , 5
2022/11/22, 110, 66, 13, 15, , 6
2022/11/23, 150, 102, 4, 23, , 9
2022/11/24, 189, 67, 27, 8, , 6
2022/11/25, 100, 22, 23, 6, 1, 1
2022/11/26, 24, 35, 16, 14, 1, 3
2022/11/27, 63, 75, 22, 10, 1, 2
2022/11/28, 92, 43, 21, , , 1
2022/11/29, 39, 26, 21, 4, , 2
2022/11/30, 32, 33, 18, 6, , 1
2022/12/1, 50, 58, 6, 20, 1, 4
2022/12/2, 118, 22, 25, 6, , 2
2022/12/3, 35, 26, 17, 10, , 1
2022/12/4, 46, 39, 20, 16, , 2
2022/12/5, 92, 58, 10, 24, , 5
2022/12/6, 89, 36, 12, 22, , 3
2022/12/7, 63, 36, 23, 18, , 3
2022/12/8, 72, 62, 14, 25, 1, 5
2022/12/9, 125, 19, 26, 6, , 1
2022/12/10, 33, 20, 23, 10, , 2
2022/12/11, 38, 550, 25, 9, , 1
2022/12/12, 218, 91, 25, 1, , 1
2022/12/13, 65, 48, 13, 11, , 2
2022/12/14, 55, 38, 21, 9, , 1
2022/12/15, 37, 20, 25, 4, , 1
2022/12/16, 30, 32, 23, 2, , 1
2022/12/17, 25, 34, 16, 12, , 2
2022/12/18, 56, 39, 16, 19, , 3
2022/12/19, 88, 52, 26, 25, 1, 5
2022/12/20, 90, 29, 22, 5, , 1
2022/12/21, 34, 16, 23, 2, , 1
2022/12/22, 27, 16, 24, 6, , 1
2022/12/23, 31, 24, 23, 10, , 2
2022/12/24, 49, 31, 18, 18, , 3
2022/12/25, 68, 37, 20, 16, 1, 2
2022/12/26, 68, 23, 23, 7, , 2
2022/12/27, 42, 33, 15, 16, , 3
2022/12/28, 62, 17, 21, 7, , 2
2022/12/29, 34, 32, 12, 20, 1, 4
2022/12/30, 64, 39, 12, 21, 1, 2
2022/12/31, 76, 30, 18, 15, 1, 4
2023/1/1, 62, 18, 22, 8, , 3
2022/7/1, 67, 44, 63, 6, 1, 6
2022/7/2, 113, 24, 41, 5, , 5
2022/7/3, 70, 22, 40, 4, , 5
2022/7/4, 66, 46, 49, 5, 1, 5
2022/7/5, 105, 11, 43, 6, , 3
2022/7/6, 29, 20, 78, 9, , 2
2022/7/7, 46, 37, 71, 10, , 3
2022/7/8, 59, 21, 36, 10, , 2
2022/7/9, 27, 15, 32, 5, 1, 3
2022/7/10, 25, 31, 41, 8, 1, 5
2022/7/11, 82, 21, 36, 6, , 4
2022/7/12, 60, 16, 52, 7, , 4
2022/7/13, 43, 19, 60, 9, 1, 2
2022/7/14, 40, 25, 61, 11, , 2
2022/7/15, 42, 53, 108, 12, 1, 6
2022/7/16, 86, 33, 46, 8, 1, 3
2022/7/17, 73, 22, 49, 7, , 3
2022/7/18, 31, 38, 78, 10, , 3
2022/7/19, 53, 43, 61, 8, , 4
2022/7/20, 84, 36, 92, 9, , 4
2022/7/21, 64, 48, 61, 11, , 4
2022/7/22, 87, 17, 55, 5, 1, 2
2022/7/23, 41, 40, 82, 7, , 3
2022/7/24, 75, 40, 65, 8, , 3
2022/7/25, 70, 35, 62, 6, , 3
2022/7/26, 79, 29, 36, 6, 1, 5
2022/7/27, 68, 7, 40, 5, 1, 2
2022/7/28, 19, 22, 55, 6, 1, 3
2022/7/29, 57, 45, 59, 7, , 4
2022/7/30, 104, 36, 58, 7, 1, 3
2022/7/31, 77, 49, 66, 7, , 4
2022/8/1, 103, 50, 56, 6, 1, 4
2022/8/2, 107, 46, 60, 6, , 3
2022/8/3, 105, 48, 59, 7, 1, 4
2022/8/4, 108, 25, 82, 6, , 3
2022/8/5, 65, 37, 39, 11, 1, 5
2022/8/6, 78, 36, 48, 6, 2, 4
2022/8/7, 90, 12, 25, 5, 1, 3
2022/8/8, 24, 10, 22, 5, , 3
2022/8/9, 25, 20, 47, 6, 1, 3
2022/8/10, 49, 31, 58, 6, 1, 3
2022/8/11, 64, 45, 66, 6, 1, 5
2022/8/12, 102, 52, 69, 6, , 8
2022/8/13, 124, 40, 25, 8, 1, 8
2022/8/14, 103, 15, 35, 6, 1, 4
2022/8/15, 47, 11, 50, 7, 1, 2
2022/8/16, 24, 42, 49, 6, , 4
2022/8/17, 77, 45, 32, 6, 1, 6
2022/8/18, 99, 20, 35, 4, 3, 3
2022/8/19, 47, 22, 47, 8, 1, 4
2022/8/20, 46, 44, 55, 6, , 4
2022/8/21, 84, 19, 40, 6, 1, 3
2022/8/22, 48, 10, 21, 8, , 1
2022/8/23, 15, 19, 43, 6, , 2
2022/8/24, 31, 23, 31, 8, , 2
2022/8/25, 42, 19, 24, 8, 1, 1
2022/8/26, 23, 16, 30, 8, , 1
2022/8/27, 22, 35, 21, 12, , 3
2022/8/28, 58, 27, 27, 4, 1, 3
2022/8/29, 65, 35, 55, 8, 1, 4
2022/8/30, 77, 10, 35, 9, , 2
2022/8/31, 17, 26, 45, 9, , 1
2022/9/1, 39, 33, 47, 9, , 2
2022/9/2, 57, 52, 50, 12, , 4
2022/9/3, 99, 48, 55, 7, , 4
2022/9/4, 116, 11, 31, 5, , 1
2022/9/5, 22, 20, 28, 9, , 1
2022/9/6, 29, 26, 46, 13, , 2
2022/9/7, 40, 44, 81, 14, , 3
2022/9/8, 65, 61, 104, 13, , 6
2022/9/9, 114, 65, 101, 10, , 8
2022/9/10, 156, 41, 60, 7, , 5
2022/9/11, 79, 62, 74, 10, , 5
2022/9/12, 133, 72, 63, 12, , 7
2022/9/13, 143, 44, 45, 8, , 5
2022/9/14, 99, 34, 55, 7, , 4
2022/9/15, 66, 43, 60, 9, , 4
2022/9/16, 82, 58, 65, 13, , 6
2022/9/17, 104, 25, 31, 9, 1, 3
2022/9/18, 42, 22, 30, 10, , 1
2022/9/19, 22, 22, 33, 8, , 1
2022/9/20, 24, 47, 51, 15, , 3
2022/9/21, 65, 43, 33, 7, , 3
2022/9/22, 57, 21, 28, 5, , 1
2022/9/23, 22, 37, 41, 14, , 3
2022/9/24, 52, 74, 67, 18, 1, 6
2022/9/25, 121, 79, 90, 19, 2, 7
2022/9/26, 137, 74, 90, 19, 1, 7
2022/9/27, 127, 76, 81, 22, 1, 6
2022/9/28, 132, 88, 93, 21, 1, 7
2022/9/29, 151, 94, 86, 24, 1, 8
2022/9/30, 162, 77, 37, 17, , 6
2022/4/1, 54, 21, 37, 7, , 1
2022/4/2, 48, 49, 49, 10, , 2
2022/4/3, 72, 78, 68, 9, 1, 5
2022/4/4, 155, 78, 41, 9, , 4
2022/4/5, 106, 48, 29, 5, , 2
2022/4/6, 43, 55, 37, 13, , 3
2022/4/7, 86, 95, 82, 13, 2, 9
2022/4/8, 166, 99, 64, 12, 1, 8
2022/4/9, 163, 105, 92, 11, 2, 10
2022/4/10, 163, 107, 38, 13, 1, 7
2022/4/11, 121, 69, 45, 5, , 1
2022/4/12, 57, 50, 51, 6, , 3
2022/4/13, 91, 24, 38, 6, , 1
2022/4/14, 46, 21, 38, 4, , 1
2022/4/15, 42, 32, 40, 8, , 1
2022/4/16, 51, 65, 30, 15, , 4
2022/4/17, 135, 73, 73, 14, 1, 6
2022/4/18, 145, 63, 50, 13, , 4
2022/4/19, 121, 64, 75, 9, 1, 3
2022/4/20, 105, 80, 38, 6, , 3
2022/4/21, 85, 35, 44, 4, , 1
2022/4/22, 34, 68, 62, 9, 1, 3
2022/4/23, 90, 90, 80, 11, 2, 8
2022/4/24, 132, 96, 84, 9, 2, 10
2022/4/25, 149, 74, 40, 3, , 4
2022/4/26, 59, 27, 31, 5, , 2
2022/4/27, 35, 23, 33, 5, , 3
2022/4/28, 54, 50, 40, 7, , 3
2022/4/29, 122, 11, 38, 4, , 1
2022/4/30, 18, 26, 42, 8, 1, 1
2022/5/1, 40, 40, 56, 11, 1, 4
2022/5/2, 74, 52, 75, 10, 1, 3
2022/5/3, 80, 63, 97, 9, 4, 3
2022/5/4, 83, 62, 92, 6, 1, 4
2022/5/5, 84, 41, 32, 4, , 2
2022/5/6, 62, 27, 33, 6, , 2
2022/5/7, 51, 21, 27, 4, 1, 3
2022/5/8, 50, 24, 43, 5, 1, 2
2022/5/9, 56, 55, 28, 7, 1, 4
2022/5/10, 104, 37, 39, 6, , 3
2022/5/11, 80, 18, 41, 5, , 1
2022/5/12, 42, 15, 37, 5, , 1
2022/5/13, 22, 14, 40, 6, , 1
2022/5/14, 25, 18, 42, 9, , 1
2022/5/15, 40, 23, 49, 8, , 1
2022/5/16, 50, 54, 77, 14, 1, 4
2022/5/17, 87, 34, 55, 8, , 2
2022/5/18, 71, 60, 99, 11, 1, 5
2022/5/19, 104, 72, 116, 11, 1, 6
2022/5/20, 122, 59, 112, 10, , 4
2022/5/21, 100, 60, 115, 11, 1, 3
2022/5/22, 93, 54, 84, 8, , 3
2022/5/23, 87, 51, 83, 8, , 4
2022/5/24, 85, 18, 39, 3, , 1
2022/5/25, 24, 23, 39, 6, , 1
2022/5/26, 35, 37, 58, 9, 1, 3
2022/5/27, 47, 61, 115, 9, 1, 3
2022/5/28, 78, 37, 45, 4, 1, 2
2022/5/29, 45, 21, 46, 6, , 1
2022/5/30, 84, 43, 92, 11, 1, 3
2022/5/31, 79, 34, 70, 10, , 3
2022/6/1, 59, 43, 113, 13, 1, 3
2022/6/2, 70, 60, 127, 13, 2, 6
2022/6/3, 93, 41, 75, 6, , 3
2022/6/4, 74, 25, 43, 6, , 3
2022/6/5, 57, 6, 38, 3, 1, 1
2022/6/6, 12, 23, 51, 7, , 4
2022/6/7, 42, 46, 45, 8, 1, 6
2022/6/8, 76, 38, 42, 8, 1, 8
2022/6/9, 73, 55, 69, 7, , 6
2022/6/10, 81, 47, 48, 8, , 4
2022/6/11, 64, 31, 57, 6, , 4
2022/6/12, 60, 27, 40, 6, , 3
2022/6/13, 59, 27, 44, 6, , 4
2022/6/14, 55, 37, 61, 6, 1, 6
2022/6/15, 74, 43, 88, 7, 1, 5
2022/6/16, 73, 62, 96, 8, 1, 9
2022/6/17, 105, 57, 102, 6, 1, 8
2022/6/18, 95, 49, 100, 6, 1, 7
2022/6/19, 87, 57, 104, 8, , 7
2022/6/20, 93, 85, 116, 11, 1, 9
2022/6/21, 143, 72, 40, 8, , 9
2022/6/22, 155, 8, 62, 9, , 3
2022/6/23, 48, 12, 54, 3, , 2
2022/6/24, 16, 50, 140, 7, 1, 3
2022/6/25, 68, 55, 78, 4, 2, 6
2022/6/26, 85, 38, 53, 5, , 5
2022/6/27, 80, 18, 35, 5, 1, 4
2022/6/28, 43, 14, 37, 4, , 3
2022/6/29, 41, 23, 57, 5, , 4
2022/6/30, 61, 22, 52, 5, , 5
2022/1/3, 74, 46, 7, 25, 2, 9
2022/1/4, 109, 54, 9, 24, , 8
2022/1/5, 145, 34, 18, 23, , 8
2022/1/6, 139, 76, 4, 31, , 13
2022/1/7, 173, 29, 25, 20, , 9
2022/1/8, 121, 50, 10, 16, , 8
2022/1/9, 111, 21, 26, 9, , 4
2022/1/10, 60, 20, 17, 11, , 2
2022/1/11, 46, 36, 23, 14, , 4
2022/1/12, 56, 17, 21, 9, , 2
2022/1/13, 42, 64, 8, 24, 1, 8
2022/1/14, 151, 38, 26, 16, 1, 5
2022/1/15, 88, 18, 18, 10, 1, 1
2022/1/16, 36, 29, 21, 16, , 2
2022/1/17, 57, 61, 5, 30, 1, 8
2022/1/18, 148, 60, 19, 17, 2, 8
2022/1/19, 137, 36, 16, 11, , 4
2022/1/20, 114, 63, 15, 14, , 6
2022/1/21, 146, , 4, 22, , 15
2022/1/22, 177, , 5, 20, , 13
2022/1/23, 190, , 12, 16, , 14
2022/1/24, 199, 11, 26, 10, , 6
2022/1/25, 119, 14, 23, 7, , 1
2022/1/26, 45, 16, 27, 6, , 1
2022/1/27, 49, 21, 25, 7, , 3
2022/1/28, 58, 24, 26, 9, , 3
2022/1/29, 63, 89, 25, 17, , 10
2022/1/30, 178, 18, 29, 3, , 1
2022/1/31, 35, 11, 30, 3, 1, 1
2022/2/1, 26, 18, 30, 6, , 2
2022/2/2, 47, 12, 33, 4, , 1
2022/2/3, 33, 10, 31, 2, , 1
2022/2/4, 27, 11, 31, 3, , 1
2022/2/5, 33, 13, 31, 4, , 1
2022/2/6, 31, 17, 29, 6, , 1
2022/2/7, 38, 23, 29, 10, , 2
2022/2/8, 58, 55, 22, 19, 2, 6
2022/2/9, 128, 67, 33, 19, 1, 7
2022/2/10, 148, 62, 32, 14, , 6
2022/2/11, 137, 48, 23, 8, , 5
2022/2/12, 101, 55, 18, 9, , 6
2022/2/13, 141, 14, 32, 5, , 2
2022/2/14, 52, 20, 27, 6, , 2
2022/2/15, 58, 18, 29, 6, , 1
2022/2/16, 55, 36, 29, 12, , 3
2022/2/17, 90, 37, 31, 9, , 3
2022/2/18, 95, 16, 31, 2, , 1
2022/2/19, 36, 21, 30, 6, , 2
2022/2/20, 41, 20, 28, 4, , 2
2022/2/21, 41, 17, 31, 4, , 1
2022/2/22, 45, 26, 26, 13, , 3
2022/2/23, 62, 39, 26, 16, , 5
2022/2/24, 81, 82, 28, 23, 1, 9
2022/2/25, 155, 17, 34, 6, , 2
2022/2/26, 32, 43, 27, 19, 1, 4
2022/2/27, 70, 79, 34, 24, 2, 8
2022/2/28, 131, 17, 32, 5, , 1
2022/3/1, 26, 43, 33, 13, , 2
2022/3/2, 65, 55, 29, 11, 2, 4
2022/3/3, 86, 76, 34, 15, , 4
2022/3/4, 87, 31, 33, 5, , 1
2022/3/5, 25, 48, 32, 16, 2, 3
2022/3/6, 77, 44, 33, 12, , 4
2022/3/7, 75, 82, 32, 21, 2, 8
2022/3/8, 146, 112, 44, 27, 3, 11
2022/3/9, 179, 138, 59, 20, 2, 11
2022/3/10, 210, 90, 32, 14, 1, 9
2022/3/11, 153, 54, 36, 10, , 5
2022/3/12, 120, 63, 32, 11, , 6
2022/3/13, 148, 43, 40, 6, , 3
2022/3/14, 90, 62, 28, 10, , 5
2022/3/15, 119, 71, 29, 12, , 6
2022/3/16, 124, 35, 23, 7, 1, 3
2022/3/17, 61, 49, 13, 11, , 6
2022/3/18, 128, 24, 35, 7, , 3
2022/3/19, 73, 49, 35, 13, , 4
2022/3/20, 124, 11, 25, 5, , 2
2022/3/21, 28, 25, 30, 9, , 2
2022/3/22, 57, 61, 25, 12, , 4
2022/3/23, 146, 86, 9, 19, , 7
2022/3/24, 171, 95, 24, 13, , 5
2022/3/25, 118, 64, 35, 9, , 2
2022/3/26, 55, 24, 38, 4, , 1
2022/3/27, 27, 63, 42, 8, 1, 2
2022/3/28, 88, 70, 28, 9, , 6
2022/3/29, 135, 35, 21, 7, , 5
2022/3/30, 93, 21, 36, 5, , 1
2022/3/31, 55, 25, 36, 8, , 1
2021/10/1, 43, 53, 17, 20, , 8
2021/10/2, 82, 51, 24, 16, , 8
2021/10/3, 91, 19, 15, 10, 1, 2
2021/10/4, 25, 10, 14, 9, , 3
2021/10/5, 25, 8, 14, 8, , 3
2021/10/6, 24, 14, 23, 9, 1, 3
2021/10/7, 34, 25, 28, 10, , 5
2021/10/8, 58, 20, 22, 13, , 6
2021/10/9, 59, 21, 26, 7, , 3
2021/10/10, 21, 19, 24, 12, , 3
2021/10/11, 34, 28, 27, 13, , 4
2021/10/12, 50, 42, 32, 23, , 5
2021/10/13, 89, 39, 20, 21, , 5
2021/10/14, 56, 28, 25, 11, , 3
2021/10/15, 35, 18, 26, 4, , 1
2021/10/16, 19, 32, 17, 17, , 3
2021/10/17, 59, 59, 15, 25, 1, 6
2021/10/18, 120, 17, 24, 9, , 1
2021/10/19, 24, 40, 17, 17, , 4
2021/10/20, 80, 30, 25, 13, , 4
2021/10/21, 53, 23, 28, 15, , 3
2021/10/22, 36, 50, 21, 23, 1, 4
2021/10/23, 92, 62, 25, 24, 1, 8
2021/10/24, 157, 99, 28, 26, 1, 10
2021/10/25, 188, 29, 27, 17, , 6
2021/10/26, 95, 32, 24, 15, , 2
2021/10/27, 27, 36, 15, 20, , 4
2021/10/28, 56, 65, 13, 31, 2, 9
2021/10/29, 146, 97, 27, 24, 1, 12
2021/10/30, 179, 46, 25, 9, , 4
2021/10/31, 62, 55, 9, 22, 1, 9
2021/11/1, 143, 58, 8, 22, , 7
2021/11/2, 154, 68, 7, 25, , 9
2021/11/3, 172, 83, 10, 26, , 9
2021/11/4, 190, , 5, 32, , 11
2021/11/5, 207, 38, 20, 15, , 9
2021/11/6, 101, 8, 23, 4, , 1
2021/11/7, 14, 15, 25, 4, , 1
2021/11/8, 17, 16, 27, 4, , 2
2021/11/9, 18, 17, 28, 6, , 1
2021/11/10, 25, 14, 26, 8, , 1
2021/11/11, 28, 28, 18, 17, , 3
2021/11/12, 55, 46, 25, 16, , 5
2021/11/13, 69, 45, 18, 18, , 3
2021/11/14, 68, 65, 17, 16, 1, 3
2021/11/15, 97, 56, 12, 18, , 8
2021/11/16, 128, 68, 9, 23, , 9
2021/11/17, 161, 53, 10, 29, , 14
2021/11/18, 181, 26, 22, 14, , 4
2021/11/19, 46, 46, 6, 22, , 6
2021/11/20, 82, 115, 23, 11, , 6
2021/11/21, 92, 27, 22, 5, , 1
2021/11/22, 31, 41, 11, 24, , 5
2021/11/23, 64, 55, 7, 28, , 7
2021/11/24, 95, 53, 12, 25, , 8
2021/11/25, 102, 42, 20, 21, , 5
2021/11/26, 67, 64, 6, 27, 1, 10
2021/11/27, 149, 77, 3, 29, 2, 13
2021/11/28, 178, 25, 16, 14, , 8
2021/11/29, 115, 18, 24, 4, , 2
2021/11/30, 22, 19, 20, 13, , 2
2021/12/1, 36, 39, 27, 14, , 3
2021/12/2, 53, 46, 19, 15, , 3
2021/12/3, 55, 56, 10, 24, , 6
2021/12/4, 83, 81, 3, 32, 1, 10
2021/12/5, 146, 50, 26, 14, , 4
2021/12/6, 58, 33, 15, 17, , 2
2021/12/7, 47, 42, 3, 24, , 6
2021/12/8, 105, 52, , 23, , 9
2021/12/9, 173, 29, 12, 16, , 7
2021/12/10, 129, 29, 26, 11, , 5
2021/12/11, 77, 14, 23, 4, , 1
2021/12/12, 19, 37, 9, 21, , 4
2021/12/13, 88, 57, 4, 26, , 8
2021/12/14, 144, 71, 1, 26, , 12
2021/12/15, 162, 42, 27, 8, , 5
2021/12/16, 65, 18, 24, 5, , 1
2021/12/17, 25, 37, 23, 16, , 3
2021/12/18, 55, 59, 4, 30, , 6
2021/12/19, 121, 64, 14, 26, , 7
2021/12/20, 118, 48, 23, 16, , 4
2021/12/21, 78, 39, 13, 14, 1, 5
2021/12/22, 93, 55, 4, 22, 1, 8
2021/12/23, 126, 21, 23, 7, 2, 4
2021/12/24, 34, 15, 24, 4, 1, 1
2021/12/25, 22, 21, 16, 12, , 1
2021/12/26, 38, 47, 8, 24, , 5
2021/12/27, 82, 50, 6, 27, 1, 8
2021/12/28, 114, 39, 26, 9, , 1
2021/12/29, 44, 30, 29, 9, , 2
2021/12/30, 48, 32, 11, 24, 1, 5
2021/12/31, 65, 46, 27, 18, 1, 7
2022/1/1, 79, 19, 21, 9, , 1
2022/1/2, 40, 42, 15, 21, , 4
2021/7/1, 45, 24, 81, 6, 1, 4
2021/7/2, 41, 21, 68, 5, , 5
2021/7/3, 31, 20, 56, 6, 1, 3
2021/7/4, 37, 32, 73, 13, , 4
2021/7/5, 48, 25, 72, 6, , 4
2021/7/6, 45, 42, 94, 8, 1, 7
2021/7/7, 75, 31, 81, 10, 1, 5
2021/7/8, 53, 31, 105, 9, , 6
2021/7/9, 56, 50, 105, 12, 1, 8
2021/7/10, 81, 39, 95, 9, 2, 6
2021/7/11, 73, 8, 33, 6, , 3
2021/7/12, 22, 18, 51, 8, , 6
2021/7/13, 43, 28, 72, 7, , 6
2021/7/14, 64, 34, 71, 6, 2, 7
2021/7/15, 74, 29, 56, 2, , 6
2021/7/16, 62, 22, 30, 1, 1, 6
2021/7/17, 46, 27, 25, 5, 1, 6
2021/7/18, 56, 24, 52, 4, 1, 5
2021/7/19, 56, 30, 49, 4, 1, 4
2021/7/20, 63, 31, 34, 9, , 5
2021/7/21, 59, 24, 24, 12, , 7
2021/7/22, 52, 25, 52, 10, 1, 5
2021/7/23, 53, 44, 68, 10, , 5
2021/7/24, 78, 46, 63, 9, , 5
2021/7/25, 79, 48, 57, 7, , 8
2021/7/26, 80, 20, 32, 8, , 6
2021/7/27, 52, 19, 22, 8, , 7
2021/7/28, 47, 19, 25, 11, , 6
2021/7/29, 47, 12, 37, 8, , 4
2021/7/30, 27, 35, 103, 7, , 6
2021/7/31, 61, 16, 40, 6, 1, 3
2021/8/1, 20, 16, 58, 6, , 3
2021/8/2, 18, 35, 82, 5, 1, 7
2021/8/3, 48, 45, 82, 7, , 7
2021/8/4, 89, 46, 85, 9, 1, 7
2021/8/5, 78, 35, 84, 8, , 5
2021/8/6, 77, 55, 111, 9, , 7
