date, pm25, pm10, o3, no2, so2, co
2024/9/29, 132, 7, 19, 5, , 3
2024/9/30, 14, 7, 25, 4, 1, 1
2024/4/1, 117, 78, 54, 14, 2, 5
2024/4/2, 129, 66, 47, 10, 1, 4
2024/4/3, 123, 62, 34, 14, 2, 4
2024/4/4, 118, 60, 46, 14, 1, 4
2024/4/5, 112, 79, 53, 14, 1, 4
2024/4/6, 146, 41, 37, 13, , 2
2024/4/7, 58, 79, 38, 15, 1, 4
2024/4/8, 82, 54, 34, 10, 1, 3
2024/4/9, 74, 58, 10, 20, , 5
2024/4/10, 121, 75, 51, 16, , 6
2024/4/11, 167, 92, 49, 17, 1, 8
2024/4/12, 186, 66, 55, 8, , 5
2024/4/13, 138, 54, 26, 13, 1, 5
2024/4/14, 128, 81, 35, 7, , 2
2024/4/15, 93, 57, 41, 12, , 1
2024/4/16, 54, 80, 75, 18, 1, 3
2024/4/17, 126, 83, 83, 14, 1, 5
2024/4/18, 127, 58, 31, 11, 3, 5
2024/4/19, 60, 41, 42, 8, 1, 3
2024/4/20, 56, 76, 85, 13, 2, 6
2024/4/21, 134, 77, 68, 13, 1, 6
2024/4/22, 156, 15, 29, 6, , 2
2024/4/23, 37, 42, 54, 11, 1, 3
2024/4/24, 77, 76, 82, 16, 1, 5
2024/4/25, 145, 88, 66, 16, 1, 6
2024/4/26, 159, 73, 44, 12, 1, 8
2024/4/27, 145, 19, 27, 8, , 2
2024/4/28, 48, 20, 20, 8, , 3
2024/4/29, 62, 16, 38, 9, , 2
2024/4/30, 43, 33, 44, 12, , 2
2024/5/1, 47, 50, 77, 12, 1, 3
2024/5/2, 84, 47, 78, 9, , 2
2024/5/3, 83, 61, 50, 17, 1, 4
2024/5/4, 130, 63, 47, 10, , 5
2024/5/5, 150, 40, 59, 9, , 3
2024/5/6, 96, 34, 62, 13, , 2
2024/5/7, 79, 59, 89, 15, 1, 4
2024/5/8, 107, 61, 102, 10, 2, 4
2024/5/9, 100, 79, 59, 9, 1, 4
2024/5/10, 110, 112, 40, 3, , 1
2024/5/11, 75, 34, 46, 9, , 1
2024/5/12, 52, 47, 84, 12, 1, 3
2024/5/13, 71, 52, 46, 8, 1, 3
2024/5/14, 73, 25, 47, 4, , 1
2024/5/15, 33, 53, 75, 13, 1, 4
2024/5/16, 74, 66, 112, 11, 2, 5
2024/5/17, 106, 72, 89, 9, 3, 10
2024/5/18, 133, 51, 59, 5, 1, 8
2024/5/19, 107, 21, 66, 5, 1, 3
2024/5/20, 48, 34, 86, 10, 2, 4
2024/5/21, 65, 67, , 11, 1, 6
2024/5/22, 130, 58, 60, 7, 1, 5
2024/5/23, 110, 30, 28, 7, 1, 3
2024/5/24, 54, 22, 23, 9, 1, 5
2024/5/25, 60, 17, 42, 5, , 2
2024/5/26, 48, 30, 70, 10, , 1
2024/5/27, 55, 44, 110, 12, 1, 3
2024/5/28, 87, 58, 112, 9, 2, 3
2024/5/29, 84, 35, 69, 8, 1, 2
2024/5/30, 59, 10, 50, 5, , 1
2024/5/31, 21, 27, 70, 9, 1, 1
2024/6/1, 45, 34, 71, 10, 1, 2
2024/6/2, 63, 52, 103, 11, 1, 3
2024/6/3, 77, 47, 105, 10, 3, 5
2024/6/4, 88, 54, 87, 12, 2, 5
2024/6/5, 101, 56, 103, 11, 1, 4
2024/6/6, 106, 47, 44, 9, , 3
2024/6/7, 86, 38, 107, 6, , 4
2024/6/8, 88, 30, 91, 8, , 3
2024/6/9, 76, 44, 107, 10, 1, 6
2024/6/10, 92, 33, 121, 13, , 4
2024/6/11, 56, 43, 133, 10, , 3
2024/6/12, 68, 48, 110, 9, , 5
2024/6/13, 83, 24, 75, 6, , 4
2024/6/14, 58, 26, 51, 9, , 2
2024/6/15, 62, 41, 93, 9, , 3
2024/6/16, 77, 54, 114, 8, , 3
2024/6/17, 99, 54, 122, 8, , 3
2024/6/18, 92, 61, 68, 8, 1, 3
2024/6/19, 103, 57, 77, 5, , 4
2024/6/20, 101, 41, 30, 10, 1, 6
2024/6/21, 84, 73, 57, 6, , 3
2024/6/22, 101, 110, 32, 6, , 1
